Site Name,Number of Employees,isDataCenter,Site IP Ranges,Description,Address 1,Address 2,City,State,Country,Zip Code,Latitude,Longitude,Phone Number,Email,Days,Time Zone,Start Time,End Time,DST,Tags,City Short Name,City Long Name,State Short Name,State Long Name,Country Short Name,Country Long Name,Continent Short Name,Continent Long Name
"Gravatai MFG",,"false","11.116.32.0/19,10.98.0.0/17,124.2.0.0/16,148.95.130.48/28,10.65.226.0/23,148.95.197.40/29,148.95.228.0/24",,"RODOVIA BR 290, KM 67 - CIAG - GRAVATAÍ","","gravatai","rio grande do sul","Brazil","94190-600","-29.952914","-50.987983",,,"monday,tuesday,wednesday,thursday,friday","America/Sao_Paulo","05:00","23:00","false","gmsa,GMSA,MFG",,,"RS","Rio Grande do Sul","BRA","Brasil","SA","South America"
"Melbourne Turner Street",,"false","10.173.50.0/23,10.145.12.0/23,172.21.6.0/26,10.193.198.94,10.193.198.64/26,10.193.198.95","GMIO AUSTRALIA Melbourne Turner Street","80 Turner Street","","Port Melbourne","","Australia","","-37.824481","144.925311",,,"monday,tuesday,wednesday,thursday,friday","Australia/Victoria","08:00","17:00","true","","Port Melbourne","Port Melbourne","VIC","Victoria","AUS","오스트레일리아","OC","Oceania"
"MasanGaPO port",,"false","192.168.1.0/24,117.105.87.208/29,10.157.62.0/24,10.157.63.0/24,10.193.201.64/30,10.193.201.64/26,10.194.201.88/31,10.194.201.90/31",,"201, Dreambay-daero, Masanhappo-gu","","Changwon","Gyeongsangnam-do","","51756","35.179576","128.566272",,,"monday,tuesday,wednesday,thursday,friday","Asia/Seoul","08:00","17:00","false","",,,"경상남도","경상남도","KOR","대한민국","AS","Asia"
"Warren VDOC",,"false","10.193.25.158,10.44.188.0/22,10.44.184.0/21,10.193.25.132/30,10.44.90.0/23,10.44.224.0/23,10.193.25.128/26,172.20.41.0/24,10.176.109.128/27,10.161.52.0/24,10.161.53.0/24,10.193.25.159,10.44.92.0/23,10.44.88.0/23,10.176.109.64/28,10.197.17.0/24,10.176.109.48/28",,"28405 VAN DYKE AVE","","Warren","Michigan","","48090","42.50211","-83.029928",,,"monday,tuesday,wednesday,thursday,friday","America/Chicago","08:00","17:00","true","",,,,,,,,
"Bucheon VTC",,"false","192.168.1.0/24,192.168.203.0/30,117.105.113.86,10.194.200.159,192.168.204.0/31,10.194.200.154/31,10.194.200.152/31,11.77.38.201,192.168.100.0/30,11.77.38.252/30,10.157.37.0/24,11.77.38.0/25,117.105.121.0/24,10.194.200.144/30,10.194.200.148/30,117.105.9.176/28,10.193.200.128/26,11.77.38.248/30,192.168.200.0/30",,"Ojeong-ro 39beon-gil, Ojeong-gu","Bucheon-si","Bucheon","Gyeonggi-do","Korea","14445","37.527938","126.76493",,,"monday,tuesday,wednesday,thursday,friday","Asia/Seoul","08:00","17:00","false","Corp,GMIO","부천시","부천시","경기도","경기도","KOR","대한민국","AS","Asia"
"New ACDC",,"false","10.193.210.0/26,10.145.64.0/20,10.193.210.31,10.173.52.0/23,10.179.97.16/28,10.193.210.30","GMIO AUSTRALIA ELIZABETH SOUTH","55 Kettering Road",,"ELIZABETH SOUTH",,"Australia",,"-34.746671","138.64698",,,"monday,tuesday,wednesday,thursday,friday","Australia/South","08:00","17:00","true","","Elizabeth South","Elizabeth South","SA","South Australia","AUS","오스트레일리아","OC","Oceania"
"Changwon RHC",,"false","10.193.202.94,10.237.100.97,10.147.112.0/21,122.236.0.0/16,117.105.230.0/24,10.237.100.143,11.84.128.0/19,10.237.105.96/28,117.105.180.0/24,10.179.96.40/29,117.105.231.0/24,10.237.105.8/29,10.193.202.64/26,10.129.128.0/17,10.193.202.95,10.237.100.96,117.105.254.0/24,117.105.10.0/24,117.105.255.0/25,117.105.255.224/29,10.237.101.68/30,117.105.255.236/30,17.105.255.248/30","GMIO - Korea Changwon plant - RHC - DR","23 SUNGJU-DONG","","Changwon City","GYEONGSANGNAM-DO","","641010","35.4606","128.2132",,,"monday,tuesday,wednesday,thursday,friday","Asia/Shanghai","08:00","18:00","false","",,,"경상남도","경상남도","KOR","대한민국","AS","Asia"
"INDONESIA PDC WAREHOUSE",,"false","10.136.32.0/20,10.173.48.0/23,10.193.214.0/26","Indonesia PDC","Jl. Cempaka KM37 Rt.003","Rw.002 Jatimulya, Tambun Selatan, Bekasi","Jakarta","","Indonesia","","-6.255362","107.030484",,,"monday,tuesday,wednesday,thursday,friday","Asia/Seoul","08:00","17:00","false","CCA,GMIO",,,"Jawa Barat","Jawa Barat","IDN","인도네시아","AS","Asia"
"Boryeong Plant",,"false","11.84.160.0/19,10.135.0.0/17,122.234.0.0/16,10.193.200.94,10.193.200.95,10.179.96.32/29,10.193.200.64/26,10.65.4.0/22",,"364, JUKYO-MYEON",,"BORYUNG","South Chungcheong-do","Korea","33448","36.390838","126.569255",,,"monday,tuesday,wednesday,thursday,friday","Asia/Seoul","08:00","17:00","false","","보령시","보령시","충청남도","충청남도","KOR","대한민국","AS","Asia"
"Cheongna Proving Grounds",,"false","11.76.80.203,117.105.76.137,117.105.77.9,117.105.74.0/25,117.105.76.140,117.105.65.0/24,117.105.70.128/25,117.105.77.1,10.193.205.159,117.105.67.0/24,117.105.77.4,117.105.76.157,117.105.76.132,11.77.1.0/24,117.105.77.7,117.105.74.128/25,117.105.76.160,10.193.205.158,117.105.77.10,117.105.69.0/24,11.77.3.0/24,117.105.76.149,117.105.71.0/25,117.105.76.152,117.105.77.2,11.77.5.0/24,117.105.76.141,117.105.73.0/25,11.76.80.206,11.77.7.0/26,117.105.76.144,117.105.75.0/25,117.105.76.133,117.105.77.5,117.105.64.0/24,117.105.71.128/26,11.76.80.204,117.105.77.8,117.105.76.161,11.77.7.64/26,117.105.76.136,117.105.66.0/24,11.76.80.205,117.105.73.128/25,117.105.71.192/26,117.105.76.153,117.105.68.0/24,117.105.77.3,11.77.2.0/24,117.105.70.0/25,117.105.75.128/25,117.105.76.156,11.76.80.72/30,117.105.77.6,11.76.80.76/30,117.105.72.0/27,11.76.80.80/30,11.76.80.84/30,11.77.4.0/24,11.76.80.56/30,11.77.6.0/24,11.76.80.60/30,11.76.80.64/30,117.105.76.148,11.76.80.68/30","Cheongna Proving Grounds","331, Parang-ro","Seo-gu","Incheon","Incheon/Republic of Korea","Korea","22768","37.518453","126.64723",,,"monday,tuesday,wednesday,thursday,friday","Asia/Tokyo","08:00","17:00","false","",,,"인천광역시","인천광역시","KOR","대한민국","AS","Asia"
