"Device","Site","Status","IP Address","Availability","CPU/Memory","CPU AVG","Memory AVG","Tags","Vendor","Type","Version","Description"
"ackcrwcrt002","NEW ZEALAND","Critical","10.193.199.159","Critical","N/A","","","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"limcrwcrt001","Limerick","Critical","10.193.166.222","Critical","N/A","","","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"limcrwcrt002","Limerick","Critical","10.193.166.223","Critical","N/A","","","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"sn8crwcrt003","Shelby TWP","Critical","10.193.33.56","Critical","N/A","","","","Viptela","Router","20.3.3","Viptela SNMP agent"
"sn8crwcrt004","Shelby TWP","Critical","10.193.33.57","Critical","N/A","","","","Viptela","Router","20.3.3","Viptela SNMP agent"
"stgcrwcrt002","Chile HQ","Critical","10.193.66.95","Good","Good","8","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bwgcrwcrt004","Bowling Green Assembly","Warning","10.193.1.249","Good","Warning","99","37","GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"mmccrwcrt004","Marion M&amp;L","Warning","10.193.15.121","Good","Warning","99","37","","Viptela","Router","20.3.3","Viptela SNMP agent"
"ptdcrwcrt003","Defiance PT","Warning","10.193.5.120","Good","Warning","99","37","GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"soocrwcrt003","6th of October City Giza","Warning","10.228.1.52","Good","Warning","99","32","GME","Viptela","Router","20.3.3","Viptela SNMP agent"
"BPHINSCSV001","Unspecified","Good","10.156.244.7","Good","Good","0","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCMINSCSV001","Unspecified","Good","10.29.128.23","Good","Good","1","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCMINSCSV002","Unspecified","Good","10.29.128.24","Good","Good","0","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCWINSCSV001","Unspecified","Good","10.28.128.23","Good","Good","0","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCWINSCSV002","Unspecified","Good","10.28.128.24","Good","Good","0","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
