flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
1,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:51.747551000 Eastern Standard Time",1675367751.747551000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:51.895248000 Eastern Standard Time",1675367751.895248000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
3,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:51.897794000 Eastern Standard Time",1675367751.897794000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
4,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.043892000 Eastern Standard Time",1675367752.043892000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
5,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.391459000 Eastern Standard Time",1675367752.391459000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
6,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.392519000 Eastern Standard Time",1675367752.392519000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
7,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.393529000 Eastern Standard Time",1675367752.393529000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
8,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.821848000 Eastern Standard Time",1675367752.821848000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
9,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.895553000 Eastern Standard Time",1675367752.895553000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
10,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:55:52.897248000 Eastern Standard Time",1675367752.897248000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
