flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
978,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:37.923505000 Eastern Standard Time",1675367857.923505000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
979,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.263758000 Eastern Standard Time",1675367858.263758000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
980,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.264632000 Eastern Standard Time",1675367858.264632000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
981,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.266062000 Eastern Standard Time",1675367858.266062000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
982,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.626770000 Eastern Standard Time",1675367858.626770000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
983,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.761149000 Eastern Standard Time",1675367858.761149000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
984,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.763176000 Eastern Standard Time",1675367858.763176000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
985,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:38.895858000 Eastern Standard Time",1675367858.895858000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
986,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.252722000 Eastern Standard Time",1675367859.252722000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
987,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.265580000 Eastern Standard Time",1675367859.265580000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
988,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.267133000 Eastern Standard Time",1675367859.267133000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
989,2,Set 1 [id=257] (6 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.278113000 Eastern Standard Time",1675367859.278113000,686,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,6,628
990,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.278113000 Eastern Standard Time",1675367859.278113000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
991,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.766756000 Eastern Standard Time",1675367859.766756000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
992,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:39.769387000 Eastern Standard Time",1675367859.769387000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
993,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:40.057257000 Eastern Standard Time",1675367860.057257000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
994,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:40.273229000 Eastern Standard Time",1675367860.273229000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
995,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:40.275429000 Eastern Standard Time",1675367860.275429000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
996,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:40.278096000 Eastern Standard Time",1675367860.278096000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
997,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:57:40.280794000 Eastern Standard Time",1675367860.280794000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
