uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
1,1,10.146.162.116,10.125.112.205,37294,32111,null,null,198.208.211.69,15,null,122,2,0.0
1,2,10.125.226.166,10.146.170.36,135,50487,null,null,10.193.197.243,16,null,504,4,0.0
1,3,10.146.170.36,10.125.226.166,50489,3389,null,null,10.204.14.165,11,null,322,3,0.0
1,4,10.146.165.65,10.125.121.200,41363,22443,null,null,10.204.14.165,11,null,125166,921,0.0
1,5,10.125.121.200,10.146.165.65,22443,41363,null,null,10.193.197.243,16,null,575893,1306,0.0
1,6,10.146.162.178,10.124.209.32,58559,22443,null,null,10.205.14.165,11,null,178326,1111,0.0
1,7,10.146.165.65,8.8.8.8,0,0,null,null,198.208.133.38,1,null,12036,118,0.0
1,8,10.146.165.6,10.125.119.246,44127,22443,null,null,10.204.14.164,11,null,662206,3169,0.0
1,9,10.146.162.178,208.67.222.222,39932,53,null,null,198.208.133.142,15,null,160,2,5.0
1,10,10.125.226.166,10.146.170.36,11216,3268,null,null,10.193.197.243,16,null,3011,8,0.0
1,11,10.146.162.235,208.67.222.222,57394,53,null,null,10.147.91.149,11,null,160,2,5.0
1,12,10.146.165.188,208.67.222.222,58106,53,null,null,10.147.91.150,11,null,160,2,5.0
1,13,10.146.162.82,208.67.222.222,48955,53,null,null,198.208.133.53,15,null,160,2,5.0
2,1,10.146.162.112,208.67.222.222,51620,53,null,null,198.208.133.142,15,null,160,2,5.0
2,2,10.146.162.201,10.125.112.187,33815,22443,null,null,198.208.211.69,15,null,245207,1278,0.0
2,3,10.146.164.115,10.119.145.39,38907,22443,null,null,198.208.211.69,15,null,421202,2280,0.0
2,4,10.146.164.115,8.8.8.8,0,0,null,null,198.208.133.38,1,null,11730,115,0.0
2,5,10.146.164.92,10.119.156.241,37893,22443,null,null,10.204.14.165,11,null,270725,1128,0.0
2,6,10.146.162.106,10.125.119.139,36786,22443,null,null,198.208.211.69,15,null,4982,60,0.0
2,7,10.146.165.171,208.67.222.222,41740,53,null,null,198.208.133.142,15,null,160,2,5.0
2,8,10.146.170.36,117.105.89.22,61241,53,null,null,198.208.133.142,15,null,93,1,0.0
2,9,10.146.170.36,130.173.33.162,61242,53,null,null,198.208.134.142,15,null,93,1,0.0
2,10,10.146.170.36,117.105.89.22,61244,53,null,null,198.208.133.142,15,null,93,1,0.0
2,11,10.146.170.36,130.173.33.162,61246,53,null,null,198.208.134.142,15,null,93,1,0.0
2,12,130.173.33.162,10.146.170.36,53,61242,null,null,10.193.197.243,16,null,91,1,0.0
2,13,130.173.33.162,10.146.170.36,53,61246,null,null,10.193.197.243,16,null,146,1,0.0
3,1,10.124.217.80,10.146.161.90,32111,60212,null,null,10.193.197.243,16,null,44,1,0.0
3,2,10.125.112.205,10.146.162.116,32111,37294,null,null,10.193.197.243,16,null,44,1,0.0
3,3,10.125.117.28,10.146.161.213,32111,47542,null,null,10.193.197.243,16,null,44,1,0.0
3,4,10.146.165.65,10.47.18.237,54845,53,null,null,198.208.210.69,15,null,85,1,0.0
3,5,10.146.165.148,10.125.114.66,43602,32111,null,null,198.208.211.68,15,null,122,2,0.0
3,6,10.146.170.36,117.105.89.22,61248,53,null,null,198.208.133.142,15,null,90,1,0.0
3,7,10.146.170.36,130.173.33.162,61249,53,null,null,198.208.134.142,15,null,90,1,0.0
3,8,10.146.170.36,117.105.89.22,61251,53,null,null,198.208.133.142,15,null,90,1,0.0
3,9,10.146.170.36,130.173.33.162,61252,53,null,null,198.208.134.142,15,null,90,1,0.0
3,10,130.173.33.162,10.146.170.36,53,61249,null,null,10.193.197.243,16,null,88,1,0.0
3,11,130.173.33.162,10.146.170.36,53,61252,null,null,10.193.197.243,16,null,144,1,0.0
3,12,10.47.18.237,10.146.165.65,53,54845,null,null,10.193.204.227,18,null,83,1,0.0
3,13,10.125.114.66,10.146.165.148,32111,43602,null,null,10.193.197.243,16,null,44,1,0.0
4,1,10.146.170.36,117.105.89.22,61254,53,null,null,198.208.133.142,15,null,90,1,0.0
4,2,10.146.170.36,130.173.33.162,61256,53,null,null,198.208.134.142,15,null,90,1,0.0
4,3,10.146.170.36,117.105.89.22,61258,53,null,null,198.208.133.142,15,null,90,1,0.0
4,4,10.146.170.36,130.173.33.162,61259,53,null,null,198.208.134.142,15,null,90,1,0.0
4,5,130.173.33.162,10.146.170.36,53,61256,null,null,10.193.197.243,16,null,88,1,0.0
4,6,130.173.33.162,10.146.170.36,53,61259,null,null,10.193.197.243,16,null,129,1,0.0
4,7,10.146.162.204,10.47.18.237,40611,53,null,null,10.205.14.164,11,null,85,1,0.0
4,8,10.146.162.194,10.155.68.10,56515,8080,null,null,198.208.31.216,1,null,120,2,0.0
4,9,10.146.165.79,10.125.118.53,47720,32111,null,null,10.204.14.165,11,null,122,2,0.0
4,10,148.93.49.78,10.193.197.223,0,0,null,null,10.193.197.243,16,null,1200,20,4.0
4,11,10.193.197.223,148.93.49.78,0,0,null,null,198.208.210.5,1,null,1560,20,4.0
